user_id,email,signup_date,company_size,subscription_tier,country
U00001,user1@example.com,2025-11-24,SMALL,Enterprise,Canada
U00002,user2@example.com,2025-04-25,Startup,,USA
U00003,user3@example.com,2025-10-30,Startup,Free,Canada
U00004,user4@example.com,2025-04-30,Startup,PRO,Canada
U00005,user5@example.com,2026-01-02, startup,free,Canada
U00006,,2025-08-18,,Free,UK
U00007,user7@example.com,2025-12-24,Medium,Pro,Canada
U00008,user8@example.com,2026-05-06,Startup,Free,india 
U00009,user9@example.com,2025-02-19,Medium,PRO,Germany
U00010,user10@example.com,2026-02-18,Enterprise,PRO,USA
U00011,user11@example.com,2026-05-14,Startup,PRO,Germany
U00012,user12@example.com,2026-03-01,,Enterprise,Canada
U00013,user13@example.com,2025-12-27,SMALL,Pro,Germany
U00014,user14@example.com,2025-02-10,,Free,india 
U00015,user15@example.com,2025-05-23,,Enterprise,UK
U00016,user16@example.com,2025-07-09,SMALL,Enterprise,
U00017,user17@example.com,2025-11-08, startup,,Canada
U00018,user18@example.com,2025-03-25,Medium,,Canada
U00019,user19@example.com,2025-12-17,,Free,Canada
U00020,user20@example.com,2026-02-25,Medium,free,Germany
U00021,user21@example.com,2025-02-03, startup,,Australia
U00022,user22@example.com,2025-04-19,Enterprise,,U.S.A
U00023,user23@example.com,2025-03-15,Small,,Germany
U00024,user24@example.com,2026-01-18, startup,free,Australia
U00025,user25@example.com,2025-04-23,Small,PRO,U.S.A
U00026,user26@example.com,2025-02-16,,Free,UK
U00027,user27@example.com,2025-11-18,SMALL,free,USA
U00028,user28@example.com,2025-07-17,Enterprise,PRO,Germany
U00029,user29@example.com,2026-05-13,Startup,,USA
U00030,user30@example.com,2025-12-16,,Enterprise,Australia
U00031,user31@example.com,2025-02-27,Small,free,India
U00032,user32@example.com,2026-05-04,SMALL,Enterprise,UK
U00033,user33@example.com,2025-09-17,,,Germany
U00034,user34@example.com,2026-03-07, startup,Pro,UK
U00035,user35@example.com,2025-07-11, startup,PRO,India
U00036,user36@example.com,2025-11-03,Startup,Free,Australia
U00037,user37@example.com,2026-03-26,,Enterprise,Canada
U00038,user38@example.com,2025-01-30, startup,Free,USA
U00039,user39@example.com,2026-01-10,Startup,PRO,UK
U00040,user40@example.com,2025-03-07, startup,Pro,Germany
U00041,user41@example.com,2025-09-28,Enterprise,Pro,Canada
U00042,user42@example.com,2026-01-01,SMALL,,Australia
U00043,user43@example.com,2025-08-13,Enterprise,Free,Canada
U00044,user44@example.com,2025-04-26,Startup,PRO,Canada
U00045,user45@example.com,2025-10-29,Startup,,India
U00046,user46@example.com,2025-04-28,Startup,Enterprise,USA
U00047,user47@example.com,2025-09-21,SMALL,free,Canada
U00048,user48@example.com,2025-10-04, startup,PRO,U.S.A
U00049,user49@example.com,2025-05-05,,free,Canada
U00050,user50@example.com,2025-02-18,Enterprise,Enterprise,india 
U00051,user51@example.com,2025-07-30,SMALL,Free,USA
U00052,user52@example.com,2025-02-01,Medium,Free,Canada
U00053,user53@example.com,2025-04-09,Enterprise,Pro,india 
U00054,user54@example.com,2025-04-04,Small,Free,U.S.A
U00055,user55@example.com,2026-02-18, startup,Free,India
U00056,user56@example.com,2025-11-30,,Free,USA
U00057,user57@example.com,2026-04-20,Small,Pro,india 
U00058,user58@example.com,2025-09-06,,free,India
U00059,user59@example.com,2025-03-26,Enterprise,Enterprise,U.S.A
U00060,user60@example.com,2025-05-27,SMALL,PRO,U.S.A
U00061,user61@example.com,2025-03-21,Small,Free,India
U00062,user62@example.com,2026-01-18,Startup,PRO,U.S.A
U00063,user63@example.com,2025-09-15, startup,Pro,India
U00064,user64@example.com,2026-05-07,,Pro,USA
U00065,user65@example.com,2025-11-01,,Pro,india 
U00066,user66@example.com,2025-03-03, startup,Pro,India
U00067,user67@example.com,2025-11-14,SMALL,PRO,Australia
U00068,user68@example.com,2026-04-24,SMALL,,Australia
U00069,user69@example.com,2025-05-03,Small,,Germany
U00070,user70@example.com,2025-08-23,,Free,India
U00071,user71@example.com,2025-08-23, startup,Free,USA
U00072,user72@example.com,2025-10-03,Medium,Pro,Australia
U00073,user73@example.com,2026-03-28,Small,Enterprise,Germany
U00074,user74@example.com,2025-03-22, startup,,Germany
U00075,user75@example.com,2025-11-10,,,India
U00076,user76@example.com,2025-12-08,Medium,,USA
U00077,user77@example.com,2026-04-26,Medium,Free,USA
U00078,user78@example.com,2026-01-16,Medium,Enterprise,Canada
U00079,user79@example.com,2026-01-03,SMALL,,Germany
U00080,user80@example.com,2025-09-16,,Free,USA
U00081,user81@example.com,2025-11-21,Medium,Free,India
U00082,user82@example.com,2025-06-20,SMALL,Enterprise,UK
U00083,user83@example.com,2026-01-15,SMALL,free,India
U00084,user84@example.com,2025-02-27,SMALL,Pro,India
U00085,user85@example.com,2026-03-04, startup,Pro,india 
U00086,user86@example.com,2025-03-07,Medium,Free,Australia
U00087,user87@example.com,2025-04-18,SMALL,Free,Australia
U00088,user88@example.com,2026-02-04,,free,UK
U00089,user89@example.com,2026-04-19,,Pro,UK
U00090,user90@example.com,2026-03-28,Small,,Australia
U00091,user91@example.com,2026-02-05,,,Canada
U00092,user92@example.com,2025-05-17,SMALL,Free,india 
U00093,user93@example.com,2026-03-23,Enterprise,Pro,Canada
U00094,user94@example.com,2026-02-23,Medium,Enterprise,Canada
U00095,USER95@EXAMPLE.COM,2025-04-25,Small,free,Australia
U00096,user96@example.com,2025-05-23,,Enterprise,Australia
U00097,user97@example.com,2025-11-25,SMALL,PRO,Australia
U00098,USER98@EXAMPLE.COM,2026-04-26,Medium,Pro,Germany
U00099,user99@example.com,2025-01-20,Enterprise,Enterprise,Australia
U00100,user100@example.com,2025-08-12, startup,Free,india 
U00101,user101@example.com,2026-04-06,Medium,Free,india 
U00102,user102@example.com,2025-01-01,,PRO,Canada
U00103,user103@example.com,2025-07-06,SMALL,Enterprise,Australia
U00104,user104@example.com,2025-12-06,SMALL,Enterprise,Germany
U00105,user105@example.com,2025-12-08,Enterprise,,Germany
U00106,user106@example.com,2025-10-11,Enterprise,,india 
U00107,user107@example.com,2025-12-13,Small,PRO,Germany
U00108,user108@example.com,2025-07-27,Startup,Enterprise,Germany
U00109,user109@example.com,2025-04-18, startup,PRO,Australia
U00110,user110@example.com,2025-08-27,SMALL,Pro,U.S.A
U00111,user111@example.com,2026-02-11,,,UK
U00112,user112@example.com,2025-12-04, startup,,Australia
U00113,user113@example.com,2025-02-17,,Pro,Germany
U00114,user114@example.com,2025-04-26,Small,Free,India
U00115,user115@example.com,2025-05-06, startup,Free,U.S.A
U00116,user116@example.com,2025-08-01, startup,Pro,india 
U00117,user117@example.com,2025-09-11,Small,,India
U00118,user118@example.com,2026-04-03,,Free,india 
U00119,user119@example.com,2025-04-23,SMALL,PRO,U.S.A
U00120,user120@example.com,2025-01-26,,Free,U.S.A
U00121,user121@example.com,2025-03-10,SMALL,PRO,Australia
U00122,user122@example.com,2026-05-02,Enterprise,PRO,india 
U00123,user123@example.com,2026-03-02,Enterprise,Pro,U.S.A
U00124,user124@example.com,2025-08-19,Small,,Germany
U00125,user125@example.com,2026-01-28,Enterprise,,Canada
U00126,user126@example.com,2025-05-21,SMALL,Enterprise,Canada
U00127,user127@example.com,2025-05-20, startup,Free,UK
U00128,user128@example.com,2025-03-19,SMALL,Pro,Canada
U00129,user129@example.com,2025-02-02,Medium,PRO,U.S.A
U00130,user130@example.com,2025-08-01,,free,india 
U00131,user131@example.com,2026-04-09,SMALL,Free,india 
U00132,USER132@EXAMPLE.COM,2025-09-02,Medium,Enterprise,india 
U00133,user133@example.com,2026-03-13,,free,Canada
U00134,user134@example.com,2025-09-07,Enterprise,free,India
U00135,user135@example.com,2025-07-19,SMALL,free,UK
U00136,user136@example.com,2026-03-07,Small,PRO,India
U00137,user137@example.com,2026-04-10, startup,,India
U00138,user138@example.com,2025-02-12,Small,free,UK
U00139,user139@example.com,2025-01-26,Medium,Pro,U.S.A
U00140,user140@example.com,2025-06-17,Enterprise,Enterprise,india 
U00141,user141@example.com,2025-05-10,Enterprise,Free,India
U00142,user142@example.com,2026-05-03,SMALL,Free,India
U00143,user143@example.com,2026-01-22,Small,Pro,India
U00144,user144@example.com,2025-11-15,Small,free,USA
U00145,user145@example.com,2025-10-16,Enterprise,,Germany
U00146,user146@example.com,2026-01-28, startup,PRO,USA
U00147,user147@example.com,2026-02-03,Medium,Free,India
U00148,user148@example.com,2026-04-21,SMALL,free,india 
U00149,user149@example.com,2026-04-28,Startup,PRO,Canada
U00150,user150@example.com,2025-02-22,Medium,,USA
U00151,user151@example.com,2026-02-12,,Free,Australia
U00152,user152@example.com,2025-09-30,Medium,Free,Australia
U00153,user153@example.com,2025-01-07,,free,USA
